ID,Título,Descripción,Tipo,Prioridad,Precondiciones,Datos de Entrada,Pasos,Resultado Esperado,Código HTTP,Criterios de Éxito,Técnica,Notas
CP-001,Crear guía con datos válidos,Verificar que se puede crear una guía con todos los datos válidos,Positiva,Alta,Token de autenticación válido,"referencia_recaudo: REF-2024-001, valor_recaudo: 50000, remitente completo, destinatario completo","1. Obtener token OAuth
2. Enviar POST a /guias con payload válido
3. Capturar ID de respuesta
4. Verificar respuesta",Sistema acepta y crea la guía correctamente,200/201,"- Response contiene ID único
- Todos los campos se almacenan
- Status code 200 o 201",Flujo Principal,Caso base exitoso
CP-002,Consultar guía creada,Verificar que una guía creada puede ser consultada y retorna los mismos datos,Positiva,Alta,"Token válido, Guía previamente creada con ID conocido",ID de guía: 99021909297,"1. Obtener token OAuth
2. Enviar GET a /guias/{id}
3. Verificar respuesta
4. Comparar datos con los enviados en creación",Sistema retorna la guía con todos los datos correctos,200,"- Status code 200
- Datos coinciden con los enviados
- Incluye estado y fecha_creacion",Flujo Principal,Verificación de persistencia
CP-003,Valor a recaudar = $0,Verificar rechazo de valor cero,Negativa,Alta,Token de autenticación válido,"valor_recaudo: 0, resto de campos válidos","1. Obtener token
2. Enviar POST con valor_recaudo = 0
3. Verificar error",Sistema rechaza con error de validación,400,"- Status code 400
- Mensaje de error claro sobre rango permitido
- No se crea la guía",Valores Límite,Justo debajo del mínimo
CP-004,Valor a recaudar = $1,Verificar aceptación del límite inferior exacto,Positiva,Alta,Token de autenticación válido,"valor_recaudo: 1, resto de campos válidos","1. Obtener token
2. Enviar POST con valor_recaudo = 1
3. Verificar respuesta",Sistema acepta $1 como valor válido,200/201,"- Status code 200/201
- Guía creada exitosamente
- Valor almacenado correctamente",Valores Límite,Límite inferior exacto
CP-005,Valor a recaudar = $16000000,Verificar aceptación del límite superior exacto,Positiva,Alta,Token de autenticación válido,"valor_recaudo: 16000000, resto de campos válidos","1. Obtener token
2. Enviar POST con valor_recaudo = 16000000
3. Verificar respuesta",Sistema acepta $16M como valor válido,200/201,"- Status code 200/201
- Guía creada exitosamente
- Valor almacenado correctamente",Valores Límite,Límite superior exacto
CP-006,Valor a recaudar = $16000001,Verificar rechazo de valor sobre el máximo,Negativa,Alta,Token de autenticación válido,"valor_recaudo: 16000001, resto de campos válidos","1. Obtener token
2. Enviar POST con valor_recaudo = 16000001
3. Verificar error",Sistema rechaza con error de validación,400,"- Status code 400
- Mensaje indica límite máximo excedido
- No se crea la guía",Valores Límite,Justo arriba del máximo
CP-007,Valor a recaudar negativo,Verificar rechazo de valores negativos,Negativa,Media,Token de autenticación válido,"valor_recaudo: -1000, resto de campos válidos","1. Obtener token
2. Enviar POST con valor negativo
3. Verificar error",Sistema rechaza valor negativo,400,"- Status code 400
- Mensaje de error apropiado
- No se crea la guía",Partición de Equivalencia,Clase inválida: negativos
CP-008,Valor a recaudar null,Verificar rechazo cuando falta valor_recaudo,Negativa,Alta,Token de autenticación válido,"valor_recaudo: null o ausente, resto válido","1. Obtener token
2. Enviar POST sin valor_recaudo
3. Verificar error",Sistema rechaza por campo obligatorio faltante,400,"- Status code 400
- Mensaje indica campo obligatorio
- No se crea la guía",Campos Obligatorios,Campo crítico ausente
CP-009,Referencia de recaudo vacía,Verificar rechazo de referencia vacía,Negativa,Alta,Token de autenticación válido,"referencia_recaudo: """", resto válido","1. Obtener token
2. Enviar POST con referencia vacía
3. Verificar error",Sistema rechaza referencia vacía,400,"- Status code 400
- Mensaje específico sobre referencia
- No se crea la guía",Campos Obligatorios,String vacío
CP-010,Referencia excede límite,Verificar rechazo cuando referencia es muy larga,Negativa,Alta,Token de autenticación válido,"referencia_recaudo: string de 500+ caracteres, resto válido","1. Obtener token
2. Enviar POST con referencia muy larga
3. Verificar error",Sistema rechaza por exceder límite de caracteres,400,"- Status code 400
- Mensaje indica límite excedido
- No se crea la guía",Valores Límite,Longitud excesiva
